occupation,post
Finance,"Equity Research Analyst - (Financials Sector)
About the job
Franklin Equity Group is an investment advisory unit of Franklin Templeton managing approximately $140 billion across a variety of mutual funds and other investment vehicles. The Franklin Equity Group brings together more than six decades of investment experience offering in-depth expertise in managing growth, value and hybrid/balanced equity strategies that cover global, regional and sector specialties. We believe that attractive risk-adjusted returns can be achieved over time by using a team-oriented collaborative approach and disciplined, bottom-up fundamental research. 

We are currently looking for an Equity Research Analyst, covering Financials, to join the Franklin Equity Group in San Mateo, California. We may consider New York City as an alternative work location, with preference for San Mateo. 

What are the responsibilities?
* Perform thorough fundamental analysis of companies in the financials sector.
* Interface with company management, sell-side analysts, competitors, customers, and other industry contacts
* Make buy and sell recommendations of financial company stocks to general and sector fund managers

What ideal qualifications, skills & experience would help someone to be successful?
* Bachelor's degree in business, finance, economics, or related field of study.
* 3 – 10 years of equity research experience covering the financials sector.
* MBA or other Advanced degree a plus.
* Excellent communication skills, both verbal and written
* Ability to build and maintain detailed financial models
* Outstanding work ethic, attention to detail and ability to work well on a team
* Ability to consume, distill large quantities of information and develop insights from vast sources of information, including research reports, industry news, daily news publications, company press releases, etc.
* Excellent problem solving and analytical thinking skills a must
* Strong verbal and written communication skills
* Strong attention to detail
* Ability to work well in a collaborative environment

Compensation Range: 
Along with base compensation, other compensation is offered such as a discretionary bonus, 401k plan, health insurance, and other perks. There are several factors taken into consideration in making compensation decisions including but not limited to location, job-related knowledge, skills, and experience. At Franklin Templeton, we apply a total reward philosophy where all aspects of compensation and benefits are taken into consideration in determining compensation. The salary, benefits and variable rewards will reflect the seniority of the position and a competitive market rate. We expect the annual salary for this position to range between $140,000 - $200,000, depending on level of relevant experience, plus discretionary bonus. 

When applying, please be sure to attach your resume / CV. Applications without a resume file attachment will not be reviewed."
Finance,"Senior Financial Analyst 
About the job
Teamwork makes the stream work.

Roku Is Changing How The World Watches TV

Roku is the #1 TV streaming platform in the US and Mexico, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.

From your first day at Roku, you'll make a valuable - and valued - contribution. We're a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines.

About The Role

The Senior Financial Analyst will play a crucial role in supporting the business by consolidating financials, understanding key drivers, and conducting detailed analyses to distill insights about trends. You will develop key reporting and visibility into financial levers that drive the business, with the goal of effectively communicating performance and outlook to our leadership teams. This function will have the opportunity to collaborate closely with multiple FP&A teams and create materials and analyses that will be consumed throughout the Company. This role will provide a unique consolidated perspective on how to analyze performance and communicate outcomes across a portfolio of business units. This is a great opportunity to join a fast growing, impactful team that will play a critical role in shaping the future growth of Roku. This role will be based out of the San Jose HQ with a hybrid model of 3 days in the office.

For California Only - The estimated annual salary for this position is between $128,000 and $135,000 annually. Compensation packages are based on factors unique to each candidate, including but not limited to skill set, certifications, and specific geographical location. This role is eligible for health insurance, equity awards, life insurance, disability benefits, parental leave, wellness benefits, and paid time off.

What You'll Be Doing

* Support the consolidation of actuals and forecast across our business units for long-range strategic planning, annual planning, as well as forecast and close cycles
* Reporting will encompass the full P&L (revenue to operating profit), units, and headcount 
* Collaborate closely with the broader FP&A team to craft narratives for senior management, connecting results and key metrics for comprehensive performance explanations and forward-looking projections 
* Work cross functionally to develop, track and analyze KPIs across various parts of the business 
* Produce and distribute recurring and ad hoc management reports, ensuring financial reporting accuracy and timeliness
* Drive the continued development of standardized reporting and presentations across the business
* Develop and manage source of truth data sources that will feed into financial reporting 

We're excited if you have 

* 3+ years of prior experience, ideally in FP&A or corporate finance at a high-growth tech company, or investment banking/private equity 
* Proficient in deciphering complex business drivers, delivering high-quality analytics and reporting, and communicating effectively 
* Self-starter who can efficiently manage multiple tasks within tight deadlines and drive projects to completion, with a keen eye for prioritization 
* Drive change by implementing new processes and reporting solutions in a rapidly evolving environment 
* Ability to work with large and messy data sets 
* Comfort with a cyclical workload that peaks around key corporate deliverables (close, forecast cycles, board meetings) 
* Desire to work in a dynamic and fast-paced environment 
* Advanced proficiency in Microsoft Excel and PowerPoint 
* Bonus Experience: Alteryx, Tableau, Looker, SQL, Anaplan, Adaptive Insights, NetSuite 

Benefits

Roku is committed to offering a diverse range of benefits as part of our compensation package to support our employees and their families. Our comprehensive benefits include global access to mental health and financial wellness support and resources. Local benefits include statutory and voluntary benefits which may include healthcare (medical, dental, and vision), life, accident, disability, commuter, and retirement options (401(k)/pension). Our employees can take time off work for vacation and other personal reasons to balance their evolving work and life needs. It's important to note that not every benefit is available in all locations or for every role. For details specific to your location, please consult with your recruiter.

The Roku Culture

Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own. We try to surround ourselves with people who are great at their jobs, who are easy to work with, and who keep their egos in check. We appreciate a sense of humor. We believe a fewer number of very talented folks can do more for less cost than a larger number of less talented teams. We're independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust. In short, at Roku you'll be part of a company that's changing how the world watches TV. 

We have a unique culture that we are proud of. We think of ourselves primarily as problem-solvers, which itself is a two-part idea. We come up with the solution, but the solution isn't real until it is built and delivered to the customer. That penchant for action gives us a pragmatic approach to innovation, one that has served us well since 2002."
Finance,"Finance Director
About the job
About The Role
As Finance Director at Commonwealth, the leading fractional athlete platform, you’ll be at the forefront of revolutionizing sports finance. The second hire on our finance and operations team, this role is ideal for an ambitious accounting or finance leader with a startup mindset, seeking to step into a broader operations and strategy role. You will make a significant impact on the success of the company, participating in every aspect of startup operations alongside the founding team, with an expectation you share your ideas and make your voice heard. Expectation of growth into a Controller or VP of Finance as Commonwealth scales.

In This Role You Will
* Work cross-functionally to create new athlete offerings and launch new sports verticals while building rapidly scalable internal processes
* Lead in the creation, structuring, and documentation of crowdfunding offerings
* Own core accounting functions including GAAP financial reporting, transaction management, SEC reporting, month-end close, treasury, and annual audit
* Collaborate across departments to drive strategic initiatives, including product development, customer acquisition, and platform improvements
* Oversee state and federal tax, reporting, and compliance filings across multiple business entities, ensuring all financial, tax, and legal obligations are met
* Partner with leadership to evaluate investment structures, funding strategies, and partnerships that will fuel company growth and expand our platform
* Be a high-impact leader, solving diverse and complex operational challenges as the company scales

Skills You'll Need to Bring
* Excellent project management and delivery. You’re excited to collaborate with cross-functional stakeholders and over-communicate blockers and updates
* At-ease juggling multiple projects and tasks at one time, and shifting quickly between them as priorities change
* Self-starter who can work with minimal supervision and always seeks to improve
* Consistently deliver organized, quality work; obsessed with accuracy.
* Ability to operate in unknowns and propose and build out concrete solutions
* Knowledge of the SEC’s Regulation Crowdfunding and required reporting
* Adept at recording transactions, preparing journal entries, leading month-end close, and producing accurate financial statements
* Experience with Quickbooks/Netsuite, CRM, Notion, and Google Workspace
* 4+ years of professional finance or accounting experience, ideally in a fast-moving tech startup

Commonwealth believes diversity drives innovation and is committed to creating a workplace that values passion and potential. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, you are encouraged to still apply. The position offers competitive salary and meaningful equity. Total compensation will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise. Commonwealth offers great health care and benefits, generous PTO, and the opportunity to be part of a team redefining how fans support and engage with athletes.

About Commonwealth
Backed by leading early-stage investors, Commonwealth is the premier platform for fractional investment in athletes. Our mission is to democratize access to sports finance by enabling fans to invest in athletes’ careers and share in their success. We are both powering athletes' careers and opening up new ways for fans to connect with players in their favorite sports. Known for winning the 2023 Kentucky Derby, we have since expanded into golf, tennis, and sports teams with marquee signings in each sport."
Finance,"Associate Finance Director
About the job
Company Description

AbbVie's mission is to discover and deliver innovative medicines and solutions that solve serious health issues today and address the medical challenges of tomorrow. We strive to have a remarkable impact on people's lives across several key therapeutic areas – immunology, oncology, neuroscience, and eye care – and products and services in our Allergan Aesthetics portfolio. For more information about AbbVie, please visit us at www.abbvie.com. Follow @abbvie on Twitter, Facebook, Instagram, YouTube and LinkedIn.

Job Description

Purpose

The primary objective of this position is to provide financial leadership and business support for the target function. Specifically, this position is responsible for building and owning tools and processes for financial planning and analysis related to Plan, Update, LBE and LRP, decision-making support and recommendations to Senior Management taking into consideration market dynamics, market share, market access and resourcing and strategic projects related to these franchises. In addition, this position is responsible for ensuring the accuracy of the financial statements and staff development as required.

Responsibilities

* Financial Planning – Support financial tools used in the planning processes (Plan, UPD, LBE and LRP) ensuring accurate and timely integration of forecast, pricing and investment resourcing, ensuring senior management input to meet overall division/corporate calendar deadlines.
* Ensure financial planning deliverables are accurate, clear and concise for Executive level review and approval.
* Work closely with business partners to develop models that accurately incorporate market dynamics including market share and market access.
* Be a strategic tool for target functions and provide clear and concise output deliverables that can be reviewed with Executive management.
* Work closely with business partners to ensure adequate and appropriate resourcing levels to successfully launch functional assets.
* Decision Support/Special Projects -- Provide analyses for ad hoc or other business presentations that lend insight into key business drivers enabling operating management to adapt more appropriate tactics/strategy to meet the LRP objectives.
* Financial statement accuracy – Ensure accurate monthly reporting associated with functional strategic projects.
* Staff Development – Potentially responsible for delegating to and coaching a staff of employees to ensure an optimal level of support to the business and provide coaching and career development opportunities to sustain a high performing staff.
* Individual is expected to successfully perform all responsibilities with a high degree of self-motivation and autonomy.

Qualifications

* Bachelor's Degree in Accounting or Finance
* Preferred: MBA in Accounting or Finance and/or CPA/CMA
* Requires 7-10 years progressive accounting or finance experience.
* This position requires an individual with the ability and desire to proactively search out and evaluate business problems and opportunities.
* Capability to direct efforts to achieve answers and results.
* Ability to solve business problems through the proactive identification of issues and subsequent collection, analysis and interpretation of related data
* Demonstrated problem solving and analysis within a broad framework of financial policies (CFMs), and Generally Accepted Accounting Principles.
Excellent verbal and written communication skills.
* Preferred: Multi-division experience and knowledge of the financial planning process.
Preferred: Solid understanding of automated accounting systems such as SAP ERP, SAP BPC, and experience with business intelligence tools such as Power BI.

Additional Information

Applicable only to applicants applying to a position in any location with pay disclosure requirements under state or local law:

* The compensation range described below is the range of possible base pay compensation that the Company believes in good faith it will pay for this role at the time of this posting based on the job grade for this position. Individual compensation paid within this range will depend on many factors including geographic location, and we may ultimately pay more or less than the posted range. This range may be modified in the future. 
* We offer a comprehensive package of benefits including paid time off (vacation, holidays, sick), medical/dental/vision insurance and 401(k) to eligible employees. 
* This job is eligible to participate in our short-term incentive programs. 
* This job is eligible to participate in our long-term incentive programs 

Note: No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, incentive, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole and absolute discretion unless and until paid and may be modified at the Company's sole and absolute discretion, consistent with applicable law.

AbbVie is an equal opportunity employer and is committed to operating with integrity, driving innovation, transforming lives, serving our community and embracing diversity and inclusion. It is AbbVie's policy to employ qualified persons of the greatest ability without discrimination against any employee or applicant for employment because of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, status as a protected veteran, or any other legally protected group status."
Finance,"Director, Finance
About the job
Company Overview 
Pattern Energy is a leading renewable energy company that develops, constructs, owns, and operates high-quality wind and solar generation, transmission, green fuels and energy storage facilities. Our mission is to transition the world to renewable energy through the sustainable development and responsible operation of facilities with respect for the environment, communities, and cultures where we have a presence. 

Our approach begins and ends with establishing trust, accountability, and transparency. Our company values of creative spirit, pride of ownership, follow-through, and a team-first attitude drive us to pursue our mission every day. Our culture supports our values by fostering innovative and critical thinking and a deep belief in living up to our promises. 

Headquartered in San Francisco, Pattern has a portfolio of 30 power facilities and transmission assets across North America, serving various customers that provide low-cost clean energy to millions of consumers. 

Responsibilities 
Job Purpose 
This position is responsible for finance execution (primary - tax advantaged financing via structured partnerships and secondary - project finance debt and M&A transactions), term conversion and operating term refinancings. The role requires market outreach, structuring of financing solutions, negotiation of principal and ancillary financing documents as well as leading/developing a deal execution team and coordinating with internal stakeholders (i.e., finance group, legal, development, E&C, and other departments) and external stakeholders (lenders, tax equity, consultants and legal advisors). 

Key Accountabilities
* Execution of tax equity/project finance transactions, construction financings, term conversion and operating term refinancings.
* Ability to negotiate key components of principal and ancillary financing documents.
* Structuring/closing transactions while developing the transaction team and maintaining positive relationship experiences with external and internal stakeholders.
* Support with post-financial closing
* Provide guidance and mentorship to the financial analyst and ancillary finance functions
* Other corporate/finance activities as needed

Qualifications Experience/Qualifications/Education Required
* Bachelor’s degree in Finance, Mathematics, Economics or related area; MBA a plus
* 10+ years of relevant experience
* Ability to work in a results-oriented, project-driven, real-time team environment. Ability to prioritize multiple projects and deliver quality results within tight time constraints
* Strong commercial skills required, including ability to recognize primary value and risk drivers within transactions, and negotiate responsive commercial and financial arrangements that maximize value to the company while ensuring appropriate risk exposure
* Ability to lead and manage people and leverage personal expertise and experience across teams of employees under direct management
* Ability to cultivate and maintain a strong network of professional relationships across the industry
* Highly motivated team player driven to achieve excellence

The expected starting pay range for this role is $200,000 - $241,000 USD. This range is an estimate and base pay may be above or below the ranges based on several factors including but not limited to location, work experience, certifications, and education. In addition to base pay, Pattern’s compensation program includes a bonus structure for full-time employees of all levels. We also provide a comprehensive benefits package which includes medical, dental, vision, short and long-term disability, life insurance, voluntary benefits, family care benefits, employee assistance program, paid time off and bonding leave, paid holidays, 401(k)/RRSP retirement savings plan with employer contribution, and employee referral bonuses. 

Pattern Energy Group is an Equal Opportunity Employer."
Fitness,"Group Fitness Instructor
About the job
Job Overview:

We are currently seeking an energetic, reliable and passionate Group Fitness Instructor to teach Strength or Pilates classes at a high profile company's fitness center located in New Haven, CT.

Develop effective, engaging, and motivating class formats accompanied by fun and appropriate playlists.
Have a passion for client results by building class attendance and offering alternative movements to accommodate all levels of fitness.
Opportunity to provide class coverage at multiple locations.

Requirements:

Current nationally recognized Group Fitness Certification or specialty class certificate, specialty class license (i.e. Zumba®, etc.) and current CPR /AED certification (no online CPR/AED certification accepted).
Prior experience in Group Fitness, Personal Training, corporate health promotion, wellness, etc.
Must be knowledgeable about the industry with the customer skills to network, engage, and interact with all clients, guests, and participants.
Must communicate professionally using appropriate vocabulary and grammar to obtain and relay information to and from clients/guests.
Ability to effectively engage participants as a public speaker.
Competent with Microsoft Suite (Word, Excel, Power Point, Outlook).

About Us:

Plus One, part of the Optum Workplace Well-being portfolio of services, provides fitness and well-being services to clients across a broad range of industries, driving employee engagement in health and wellness programs. Our services include fitness, nutrition, ergonomics, wellness coaching and health promotion. Our team members believe that the most effective way to help people adopt a healthier lifestyle is through personal connections infused with hospitality, empathy and a lot of fun.

Perks of working at Plus One, an Optum company*:

Health and financial:

* Medical plan choices with Health Reimbursement Account (HRA) and Health Savings Account (HSA) options
* Dental and Vision coverage plans
* 401(k) Retirement & Savings Plan
* Life Insurance (team member, spouse and dependents)
* Short and Long Term Disability Plans
* Accident & Critical Illness Insurance
* Transportation and Parking Plans
* Paid parental leave

Well-being:

* Paid time off
* Wellness rewards program
* Free memberships to various fitness facilities and wellness subscriptions
* 24/7 health and wellness support through the Employee Assistance program
* Entertainment and consumer discounts
* Dedication to ensuring a cohesive and inclusive culture led by an internal diversity, equity and inclusion council

Growth and development:

* Free professional development courses through internal learning management systems
* Discounted certifications through industry leading agencies
* Free CPR/AED certifications
* Free continuing education courses and credits
* Employee Referral Reward program
* Please note, some of the benefits listed above are only available to team members who work full time hours.

Equal opportunity statement

Diversity creates a healthier atmosphere. Plus One, an Optum Company is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.

For residents of California, Colorado, Connecticut, New York City, and Washington only: The hourly rate for this position ranges from $30 to $75. Pay is based on several factors including, but not limited to, education, work experience, certifications, geographic differentials, and other business and organizational needs. In addition to the hourly rate, Plus One offers a comprehensive benefits package (all benefits are subject to eligibility requirements), which includes health insurance, life and disability benefits, 401(k) plan, and paid time off. Plus One, an Optum Company, adheres to all federal, state, and local minimum wage requirements."
Fitness,"Certified Fitness Instructor - Flex
About the job
Department Overview

At March Wellness & Fitness Center we address the many dimensions of wellness – physical, emotional, intellectual, spiritual, financial, social and creative – that when combined make each of us unique. At march, members and health practitioners work together to develop a wellness program that draws on a variety of approaches, traditional and novel, to meet an individual's health needs.

Benefit Eligible Role

(restriction, limitations and waiting period apply, ask for more details)

* Medical and Dental and other insurance benefits when working hours are met. Eligible family members, including domestic partners, may be enrolled in the plans as well. 
* Retirement: You will be eligible to participate in our voluntary savings plan upon hire. You will also be able to participate on the first day of the month following six full months of employment in either the University Pension Plan (UPP) or the Oregon Public Service Retirement Plan (OPSRP). 
* Flexible Spending Accounts: Flexible Spending Accounts represent a convenient, cost effective way to manage dependent and health care expenses. Through payroll deductions, you may use pre-tax dollars to defray costs related to care for your children and/or parents as well as to address those health care expenses otherwise not eligible for reimbursement under any other plan. 
* Up to two weeks of Paid Time Off per year (0.038 PTO accrued per hour worked) 
* Employee Tuition Benefits: OHSU encourages your continued professional development and, to that end, provides tuition subsidies, as specified in the plan, for coursework at any college or university in the Oregon University System, Portland Community College or OHSU. 
* Professional Development: As an AFSCME represented employee you have access to free professional development resources through the Career and Workplace Enhancement (CWE) Center. These resources include classroom training, reimbursement for professional development activities, career and conflict coaching, online tools and more. 
* Parking and Alternative Transportation: OHSU provides a discount on annual TriMet/Max/C-Tran pass. The rate for monthly parking at the OHSU varies by lot location. Parking availability may also vary by location. 

Learn more here - MyCommute

Learn more about us by visiting - March Wellness

Function/Duties of Position 

As a Certified Fitness Instructor, you will teach all aspects of group exercise instruction including safe and effective low/high, including combo, step, water fitness, kickboxing, cardio sculpt, yoga, innergystics and conditioning classes for all levels

Typical Duties And Responsibilities Will Consist Of

Designs/Teaches Class 
* Designs routines and combinations, to include proper warm up, cardiovascular, cool down and toning segments. 
* Designs and teaches all classes with the participants' safety and fitness levels in mind. Class topics include: basic exercise physiology, anatomy, choreography, muscular conditioning, injury prevention and weight control. 

Records keeping 
* Tracks class participation statistics for aerobic classes, pool use and multi-purpose room use. 

Room Setup/Cleanup 
* Sets up rooms with appropriate training apparatus; including stereo and microphone equipment if appropriate. Maintains a clean, safe workout environment. Cleans up room and equipment after class. 

Required Qualifications
* Hold and maintain a NCCA accredited certification in the format taught, such as American Council on Exercise (ACE), Athletics and Fitness Association of America (AFAA), Aquatic Exercise Association (AEA), or American College of Sports Medicine (ACSM) fitness certification; 
* Some positions may require additional certification; 
* Prior aerobic instruction and/or dance experience; 
* BLS HeartCode or CPR/AED Certification required. 

Preferred Qualifications
* High School Diploma or equivalent. 
* BS in exercise science or related field. 
* Two years experience in the fitness industry. 
* First Aid certification. 

Additional Details

Salary Range: $35.46 - $48.68 per hour

Compliance with Code of Conduct, Respect in the workplace and Applicable policies, procedures and agreements related to position, department or OHSU as a whole

This position requires a high level of physical activity, including standing for extended periods of time, demonstrating equipment use, and spotting. Ability to lift a minimum of 80 pounds essential.

Oregon Health & Science University values a diverse and culturally competent workforce. We are proud of our commitment to being an equal opportunity, affirmative action organization that does not discriminate against applicants on the basis of any protected class status, including disability status and protected veteran status. Individuals with diverse backgrounds and those who promote diversity and a culture of inclusion are encouraged to apply. To request reasonable accommodation contact the Affirmative Action and Equal Opportunity Department at 503-494-5148 or aaeo@ohsu.edu.

All are welcome 

Oregon Health & Science University values a diverse and culturally competent workforce. We are proud of our commitment to being an equal opportunity, affirmative action organization that does not discriminate against applicants on the basis of any protected class status, including disability status and protected veteran status. Individuals with diverse backgrounds and those who promote diversity and a culture of inclusion are encouraged to apply. To request reasonable accommodation contact the Affirmative Action and Equal Opportunity Department at 503-494-5148 or aaeo@ohsu.edu."
Fitness,"Fitness, Somatics Trainer
About the job
Company Description We are far more than a worldwide leader. We welcome you as you are and you can find a job and brand that matches your personality. We support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore Accor’s limitless possibilities. By joining Accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. Discover the life that awaits you at Accor, visit https://careers.accor.com/ Do what you love, care for the world, dare to challenge the status quo! #BELIMITLESS 

Claremont Club & Spa, A Fairmont Hotel is an Equal Opportunity Employer. EOE/M/F/V/D 

Job Description 
Reporting to the Director of Wellness, responsibilities and essential job functions include but are not limited to the following:
* Consistently offer professional, friendly and engaging service
* Ensure all fitness and Club services, protocols and procedures are followed
* Ensure the cleanliness of the Fitness Center and teaching area including where equipment is housed Ensure the smooth operation of all equipment through periodic service checks and reporting and issues promptly
* Responsible for scheduling and organizing the daily business of personal training clients
* Submission and organization of proper paperwork for daily clientele
* Plan and conduct fitness exercise sessions, personal training sessions, group training experiences, and in-service education sessions.
* Maintain professional certifications (NASM, ACSM, ACE, AFAA, Pilates) while continually pursuing a greater degree of knowledge and expertise Maintaining current CPR Certification
* Strong interpersonal and problem solving abilities
* Provide a high level of guest satisfaction through effective communication
* Highly responsible & reliable
* Ability to work cohesively as part of a team
* Ability to focus attention on guest needs, remaining calm and courteous at all times
* Follow departmental policies and procedures
* Follow all safety and sanitation policies
* Other duties as assigned

Qualifications
* Possible Jumping; Bending; Running, as necessary to demonstrate exercise routines.
* Occasional lifting and carrying up to 20 lbs.
* Frequent kneeling, pushing, pulling, sitting
* Occasional ascending or descending ladders, stairs and ramps
* Job functions are subject to possible modifications to reasonably accommodate individuals with disabilities.
* Requirements are representative of minimum levels of knowledge, skills and/or abilities.
* To perform this job successfully, the employee will possess the abilities or aptitudes to perform each task proficiently.
* Some requirements may exclude individuals who pose a direct threat or significant risk to the health and safety of themselves or other employees.
* This job description in no way states or implies that these are the only tasks to be performed by the employee occupying this position.
* Employees will be required to follow any other job-related tasks requested by their supervisor.

Additional Information Visa Requirements: Must provide proof of eligibility to work in the United States. 

Hourly Rate: $50.00 USD - $65.00 USD Gross per hour 

Our Commitment To Diversity & Inclusion 
We are an inclusive company and our ambition is to attract, recruit and promote diverse talent."
Fitness,"Fitness Instructor
About the job
Sterling Grove Golf and Country Club is excited to announce the exceptional career opportunity of part-time Fitness Instructor. Qualified candidates will thrive in a hospitality environment and be highly focused on providing superior service to our members. 

Part-Time! 

Key Responsibilities of the Fitness Instructor:
* Guides members through initial and progressive training in the areas of flexibility, aerobic conditioning and strength training.
* Instructs fitness and aerobic classes each week.
* Teaches proper stretching, strengthening and aerobic exercise.
* Insures proper, up-to-date and safe procedures are used in the teaching of all classes.
* Participates in continuing education seminars and workshops.
* Inspects exercise equipment and areas for cleanliness and safety. Performs light custodial duties such as wipes down equipment, monitors cleanliness in pool area, spa, fitness center, and locker-rooms.
* Choreographs exercise sequences and aerobic routines for aerobic dance and exercise classes. Classes may be either indoor, controlled exercise settings, or indoor/outdoor aquatic settings.
* Monitors classes in progress, providing constructive assistance.
* Enforces all rules and regulations in a polite and professional manner.
* Represents the community association’s fitness center at meetings, seminars, and events with the fitness director, or in the absence of the fitness director.
* Assists the fitness director with special events, tournaments, recognition programs, and any outdoor sports related activities
* Incorporates safe work practices in job performance.
* Performs other duties as required.

Minimum Qualifications for the Fitness Instructor:
* Associate’s degree (AA) in Physical Education or related field; and six months to one year related experience and/or training; or equivalent combination of education and experience.

Other Qualifications:
* Regular and reliable attendance.
* Experience and exposure with wide variety of exercise equipment, instructional techniques, injury prevention, fitness/wellness counseling, and developing/interpreting personalized fitness/wellness regimens."
Fitness,"Fitness Trainer
About the job
The Fitness Trainer will lead both group fitness classes and personal training sessions for Members. Fitness Trainers must be able to demonstrate and observe technique and form and offer corrective measures to improve their abilities. Fitness Trainers must also use their knowledge of exercise science and nutrition to counsel Members on a one-on-one basis and curate individualized fitness plans that are tailored to each person’s physical ability and goal setting as well as answer their questions about the fitness center equipment, products, and programming offered as well as general health and wellness related questions. 

Supervisory Responsibilities
* None

Duties and Responsibilities
* Instructs and observes Members individually, such as in Personal Training, or leads group fitness in a class and provides corrective measures to help them improve their skills while developing their technique and form.
* Evaluates participants’ abilities, needs, and physical conditions, and develop suitable training programs to meet special requirements.
* Provides Members with information and resources regarding nutrition, weight control, and lifestyle issues that fall within their scope of practice and related certifications.
* Provides Wellness Assessments to Members on their fitness level by reviewing their abilities, physical condition, and overall health to ensure that all fitness plans are suitable.
* Curates personalized fitness routines that assist Members in reaching their fitness goals while remaining suitable to their current physical abilities.
* Monitors Members on their wellness journey and makes changes to their fitness plans based on any physical changes and increased or decreased fitness levels.
* Enforce all Fitness Center policies to reduce the chance of any accidents and to maintain a safe and comfortable environment in which Members can exercise.
* Clean and maintain all fitness equipment so that it is ready for clients to use at any time.
* Knowledge of fitness equipment and exercises.
* Provide Members with a detailed individualized workout program based on their fitness results.

Physical, Mental, and Visual Skills
* Ability to display a positive attitude toward all Members.
* Ability to establish meaningful relationships.
* Ability to plan and organize to overcome any obstacles.
* Ability to prioritize tasks, manage time and balance professional and personal commitments.
* Ability to follow policies and procedures, arrive prepared and on time for work, and consistently demonstrate service excellence.
* Ability to maintain personal wellness by making lifelong healthy choices and continuing to learn to meet one’s physical, nutritional, and emotional needs.
* Ability to assess a situation and make well-informed decisions independently.
* Ability to modify exercises for the different fitness levels of all clients.
* Prolonged periods of standing and providing massages.
* Good verbal and organizational skills.
* Must have the necessary arm, hand, and finger strength and dexterity to provide massages.
* Must be able to lift up to 50 pounds at a time.

Educational And Experience Requirements
* Active certification as a Fitness Training by a nationally recognized organization
* Active CPR/ AED required.
* Experience working in Hotel/ Resort spa and/or country club environment preferred.
* 2+ years experience as a Fitness Professional

Working Conditions Works indoors. Potential exposure to sharp and rapid equipment movement, sharp utensils, harmful chemicals, and or solvents if proper safety procedures are not followed. 

This is an Independent Contractor position with varied hours depending on the agreed upon schedule outlined in the contract."
Fitness,"Personal Trainer - Colorado Athletic Club
About the job

Colorado Athletic Club
Denver, CO
A Wellbridge Company

Full-time/Part Time
We're looking for a Personal Trainer!

Who we are:
Colorado Athletic Club is Denver’s leading upscale athletic, aquatics, tennis and family fitness club with 4 convenient locations across Colorado’s Front Range. Our club supports the lifestyles of busy professionals, families, health enthusiasts and those who simply strive to be more active by providing a wide spectrum of unique fitness and wellness services.

What our Personal Trainers are all about:
Our Personal Trainers are committed to helping individuals reach their personal fitness goals. They specialize in the design and implementation of individualized programs and are skilled in the safe and proper use of machine weights, free weights and cardiovascular equipment.

Our Personal Trainers are energetic, provide exceptional customer service, and enjoy finding creative ways to keep clients motivated while assisting them in overcoming obstacles. Our most successful trainers have an entrepreneurial spirit yet appreciate the support from club management and our corporate office.

What you’re all about:
* A passion for fitness and enjoy helping a wide variety of individuals reach their personal goals.
* A solid work ethic and people know they can depend on you.
* We accept a personal training program certification from one of the following organizations: ACTION, ACSM, ACE, CFSC, CSCCA, IFPA, ISSA, NASM, NCCPT, NCSF, NESTA, NETA, NFPT, NSCA, PTAG, WITS or Cooper Institute.
* A CPR and First Aid Certification.
* Excellent verbal and promotional skills.
* A minimum of 6 months of personal training experience is preferred.
* A Bachelor’s degree in exercise physiology or a related area is definitely a plus.

Why we're a great company to join:
* You’ll enjoy a complementary club membership.
* We provide state-of-the-art exercise equipment and resources.
* We provide the opportunity to strategize, learn, lead and grow.
* We provide medical, dental and vision insurance.
* We offer company matching 401k
* We offer several voluntary insurance options.
* We offer paid time off and holidays.
* And much, much more!

* All benefits vary based on employee job status and including hours worked.

Wellbridge owns and operates a variety of premiere athletic and tennis clubs across the country. Established more than 30 years ago with one location in CO, we have grown to 10 locations spanning 3 states (CO, NM & MD). We proudly employ more than 1,000 team members and serve a growing membership community of more than 20,000+ members.

We offer dynamic opportunities for our employees to develop their careers in a collaborative and empowering environment. Our culture encourages managers to be coaches, celebrates results through teamwork, and promotes innovative behaviors that contribute to a strong and dynamic environment. This allows us to live our mission of delivering the best for and through our employees, our members, and our community."
